Explicit(i-j-k)    Column-major(i-k-j)    MATMUL
    0.004781       0.005593       0.000717
    0.042029       0.041329       0.001013
    0.105928       0.108444       0.002598
    0.233770       0.299204       0.005799
    0.463359       0.506558       0.009541
    0.751307       0.973295       0.017941
    1.269109       2.234259       0.040144
    2.913709       3.720475       0.050554
    3.498138       5.762028       0.066370
    5.017122       9.516012       0.090905
    6.732947      10.999832       0.107042
    9.560036      16.010181       0.156632
    9.675990      25.319785       0.191335
   12.115920      33.107036       0.236622
   15.204952      47.188413       0.293344
   20.534376      60.636143       0.309723
   23.927043      77.304569       0.394917
   27.788280      98.138339       0.445639
   41.085619     132.519402       0.700493
   54.581393     124.080763       0.620467
