Explicit(i-j-k)    Column-major(i-k-j)    MATMUL
    0.001006       0.000872       0.000539
    0.012179       0.010808       0.001183
    0.040518       0.034857       0.003051
    0.101022       0.119754       0.004298
    0.155027       0.262823       0.015710
    0.295450       0.323324       0.024071
    0.425294       0.585652       0.027437
    0.748004       1.095067       0.065320
    1.184656       2.080692       0.062088
    1.544399      10.668583       0.079360
    2.120687      14.909750       0.102847
    2.553470      25.088045       0.147552
    3.718469      43.127591       0.227770
    4.305427      61.210744       0.240537
    6.446093      80.795875       0.247023
    8.517528      92.355821       0.329632
    9.437453     124.596597       0.435639
