 Matrices Size:            5  x            5
 ORIGINAL MATRIX:
 Trace:                (2.6987591073199746,1.8994984603549057)
 Elements:
( 0.4710, 0.1172) ( 0.7247, 0.2761) ( 0.7073, 0.3703) ( 0.8962, 0.7217) ( 0.4310, 0.6008)
( 0.7166, 0.9682) ( 0.5189, 0.9373) ( 0.2051, 0.0299) ( 0.7369, 0.0272) ( 0.4202, 0.0648)
( 0.9136, 0.2459) ( 0.2572, 0.2643) ( 0.7710, 0.1192) ( 0.1828, 0.9410) ( 0.0096, 0.0492)
( 0.7805, 0.5630) ( 0.0729, 0.4286) ( 0.7803, 0.0521) ( 0.2017, 0.6964) ( 0.9246, 0.2011)
( 0.3978, 0.1761) ( 0.6331, 0.6753) ( 0.5798, 0.3451) ( 0.6040, 0.9854) ( 0.7362, 0.0294)

 ADJOINT MATRIX:
 Trace:               (2.6987591073199746,-1.8994984603549057)
 Elements:
( 0.4710,-0.1172) ( 0.7166,-0.9682) ( 0.9136,-0.2459) ( 0.7805,-0.5630) ( 0.3978,-0.1761)
( 0.7247,-0.2761) ( 0.5189,-0.9373) ( 0.2572,-0.2643) ( 0.0729,-0.4286) ( 0.6331,-0.6753)
( 0.7073,-0.3703) ( 0.2051,-0.0299) ( 0.7710,-0.1192) ( 0.7803,-0.0521) ( 0.5798,-0.3451)
( 0.8962,-0.7217) ( 0.7369,-0.0272) ( 0.1828,-0.9410) ( 0.2017,-0.6964) ( 0.6040,-0.9854)
( 0.4310,-0.6008) ( 0.4202,-0.0648) ( 0.0096,-0.0492) ( 0.9246,-0.2011) ( 0.7362,-0.0294)
