 Matrices Size:            4  x            4
 ORIGINAL MATRIX:
 Trace:                (2.2649003230712497,1.4134048009428681)
 Elements:
( 0.4711, 0.1173) ( 0.1935, 0.1199) ( 0.0924, 0.9313) ( 0.5639, 0.0619)
( 0.2852, 0.8004) ( 0.8569, 0.0197) ( 0.2024, 0.1691) ( 0.9955, 0.1319)
( 0.1314, 0.8277) ( 0.9216, 0.4822) ( 0.1005, 0.3377) ( 0.9290, 0.1627)
( 0.2839, 0.5036) ( 0.3185, 0.1458) ( 0.5597, 0.4989) ( 0.8364, 0.9387)

 ADJOINT MATRIX:
 Trace:               (2.2649003230712497,-1.4134048009428681)
 Elements:
( 0.4711,-0.1173) ( 0.2852,-0.8004) ( 0.1314,-0.8277) ( 0.2839,-0.5036)
( 0.1935,-0.1199) ( 0.8569,-0.0197) ( 0.9216,-0.4822) ( 0.3185,-0.1458)
( 0.0924,-0.9313) ( 0.2024,-0.1691) ( 0.1005,-0.3377) ( 0.5597,-0.4989)
( 0.5639,-0.0619) ( 0.9955,-0.1319) ( 0.9290,-0.1627) ( 0.8364,-0.9387)
