 Matrices Size:            6  x            6
 ORIGINAL MATRIX:
 Trace:                (3.8292656232753481,2.5630448303656550)
 Elements:
( 0.5000, 0.1324) ( 0.2482, 0.1046) ( 0.7930, 0.4608) ( 0.1893, 0.5121) ( 0.4373, 0.0695) ( 0.1444, 0.6915)
( 0.3837, 0.0005) ( 0.6322, 0.3871) ( 0.7458, 0.8928) ( 0.9061, 0.6200) ( 0.5589, 0.6783) ( 0.1247, 0.3643)
( 0.3980, 0.0333) ( 0.1745, 0.3843) ( 0.5833, 0.3075) ( 0.0209, 0.3014) ( 0.0142, 0.5744) ( 0.7825, 0.5883)
( 0.5542, 0.3137) ( 0.5609, 0.0801) ( 0.9749, 0.7622) ( 0.8495, 0.5734) ( 0.0984, 0.4298) ( 0.7118, 0.4084)
( 0.7696, 0.6019) ( 0.8103, 0.5221) ( 0.8123, 0.5797) ( 0.7505, 0.6834) ( 0.4675, 0.6417) ( 0.1458, 0.9996)
( 0.2283, 0.7483) ( 0.2269, 0.9380) ( 0.3941, 0.7281) ( 0.8481, 0.5656) ( 0.2563, 0.5951) ( 0.7969, 0.5209)

 ADJOINT MATRIX:
 Trace:               (3.8292656232753481,-2.5630448303656550)
 Elements:
( 0.5000,-0.1324) ( 0.3837,-0.0005) ( 0.3980,-0.0333) ( 0.5542,-0.3137) ( 0.7696,-0.6019) ( 0.2283,-0.7483)
( 0.2482,-0.1046) ( 0.6322,-0.3871) ( 0.1745,-0.3843) ( 0.5609,-0.0801) ( 0.8103,-0.5221) ( 0.2269,-0.9380)
( 0.7930,-0.4608) ( 0.7458,-0.8928) ( 0.5833,-0.3075) ( 0.9749,-0.7622) ( 0.8123,-0.5797) ( 0.3941,-0.7281)
( 0.1893,-0.5121) ( 0.9061,-0.6200) ( 0.0209,-0.3014) ( 0.8495,-0.5734) ( 0.7505,-0.6834) ( 0.8481,-0.5656)
( 0.4373,-0.0695) ( 0.5589,-0.6783) ( 0.0142,-0.5744) ( 0.0984,-0.4298) ( 0.4675,-0.6417) ( 0.2563,-0.5951)
( 0.1444,-0.6915) ( 0.1247,-0.3643) ( 0.7825,-0.5883) ( 0.7118,-0.4084) ( 0.1458,-0.9996) ( 0.7969,-0.5209)
