    Size    Explicit(i-j-k)    Column-major(i-k-j)    MATMUL
   100       0.004801       0.004907       0.000673
   200       0.032263       0.033779       0.000959
   300       0.110714       0.100489       0.003723
   400       0.282560       0.287534       0.007069
   500       0.428372       0.536029       0.009909
   600       0.745251       0.983018       0.016054
   700       1.229884       1.745707       0.027289
   800       2.046699       2.490945       0.042535
   900       2.901135       4.266500       0.048417
  1000       5.402906       7.614822       0.064147
  1100       5.320304      10.195126       0.113314
  1200       6.780000      15.396393       0.116254
  1300       9.124804      25.297598       0.166048
  1400      15.239837      40.806700       0.180884
  1500      15.764764      43.187586       0.211318
  1600      20.962810      59.773846       0.360317
  1700      24.120329      72.828473       0.485523
  1800      26.336560      74.064456       0.383876
  1900      31.816012     100.073415       0.522998
  2000      42.058879     122.871996       0.766484
  2100      51.465512     141.710998       0.622575
  2200      52.090321     155.887512       0.807660
  2300      67.047051     181.479374       0.783133
  2400      94.721514     222.549954       1.028405
  2500      95.541809     249.642342       0.948546
