j,m1,xi1,m2,xi2,index1,index2,energy_diff,coupling
0,0.5,True,-0.5,False,1,0,12.773243555560699,-0.0
1,-0.5,False,-1.5,False,3,2,-9.629291978600515,0.18485588272801237
1,0.5,False,-0.5,False,4,3,-6.386415674806917,0.15847919872134744
1,0.5,False,-0.5,True,4,5,-22.941092929778964,-0.12200140807646326
1,-0.5,True,-1.5,False,5,2,6.925385276371533,-0.07634332073500073
1,0.5,True,-0.5,True,6,5,0.2121151592275572,-0.1584791987213469
1,0.5,True,-0.5,False,6,3,16.766792414199607,-0.1220014080764632
1,1.5,True,0.5,True,7,6,-0.5385573956177527,0.1930490240028299
1,1.5,True,0.5,False,7,4,22.614650693388768,0.05226924843112685
2,-1.5,False,-2.5,False,9,8,-13.922244122464441,0.1568559047457385
2,-0.5,False,-1.5,False,10,9,-6.340530199867237,-0.11905017008079072
2,-0.5,False,-1.5,True,10,13,-23.22111174256714,-0.03326372131219115
2,0.5,False,-0.5,False,11,10,-5.61477910534496,0.05007187926365669
2,0.5,False,-0.5,True,11,14,-29.002120532199974,-0.0655402776576449
2,1.5,False,0.5,False,12,11,-5.228881823476129,0.1882451847696721
2,1.5,False,0.5,True,12,15,-33.67148094544171,-0.055264812423533004
2,-1.5,True,-2.5,False,13,8,2.958337420235459,-0.12732851871049156
2,-0.5,True,-1.5,True,14,13,0.1662296842878792,-0.1618622613342501
2,-0.5,True,-1.5,False,14,9,17.046811226987778,-0.07835966962034835
2,0.5,True,-0.5,True,15,14,-0.5595214102343995,-0.050071879263656326
2,0.5,True,-0.5,False,15,10,22.827820016620617,-0.06554027765764489
2,1.5,True,0.5,True,16,15,-0.9454186921032317,0.09382102219923635
2,1.5,True,0.5,False,16,11,27.497180429862347,-0.01806140446814216
2,2.5,True,1.5,True,17,16,-1.1949844777837288,0.19500070151486398
2,2.5,True,1.5,False,17,12,31.531077775554746,0.05283041680058207
3,-2.5,False,-3.5,False,19,18,-19.999143236519537,0.11930356847663685
3,-1.5,False,-2.5,False,20,19,-5.8391304904347745,-0.16903761248761126
3,-1.5,False,-2.5,True,20,25,-26.636378040932193,0.009308487065119109
3,-0.5,False,-1.5,False,21,20,-5.348797023068686,-0.08875643489322418
3,-0.5,False,-1.5,True,21,26,-31.695740598230955,-0.032684201240142166
3,0.5,False,-0.5,False,22,21,-5.052164538279065,0.02604050520649037
3,0.5,False,-0.5,True,22,27,-35.96813720337401,-0.04780015744277115
3,1.5,False,0.5,False,23,22,-4.847748616122622,0.13224973028551987
3,1.5,False,0.5,True,23,28,-39.739485401570995,-0.04658824823287263
3,2.5,False,1.5,False,24,23,-4.695827339519418,0.18709972246468162
3,2.5,False,1.5,True,24,29,-43.15449640100834,-0.03318778926712749
3,-2.5,True,-3.5,False,25,18,0.7981043139778841,-0.1510089255169292
3,-1.5,True,-2.5,True,26,25,-0.28943446576992393,-0.16681999541806916
3,-1.5,True,-2.5,False,26,19,20.507813084727495,-0.052630656665306856
3,-0.5,True,-1.5,True,27,26,-0.7797679331360126,-0.1130680459872096
3,-0.5,True,-1.5,False,27,20,25.567175642026257,-0.05877789053851993
3,0.5,True,-0.5,True,28,27,-1.076400417925635,-0.026040505206490504
3,0.5,True,-0.5,False,28,21,29.839572247169308,-0.04780015744277122
3,1.5,True,0.5,True,29,28,-1.280816340082076,0.07008117285127222
3,1.5,True,0.5,False,29,22,33.6109204453663,-0.024766072820993894
3,2.5,True,1.5,True,30,29,-1.4327376166852765,0.1519584885465044
3,2.5,True,1.5,False,30,23,37.025931444803646,0.007755096074260065
3,3.5,True,2.5,True,31,30,-1.5513988534323584,0.1863163524799818
3,3.5,True,2.5,False,31,24,40.170359930890704,0.04820014352252765
4,-3.5,False,-4.5,False,33,32,-27.11624297179275,0.09196665601827417
4,-2.5,False,-3.5,False,34,33,-5.317822902279135,-0.17565542699223932
4,-2.5,False,-3.5,True,34,41,-32.08926992332299,0.026543227888512107
4,-1.5,False,-2.5,False,35,34,-5.031709286930544,-0.14396786735113626
4,-1.5,False,-2.5,True,35,42,-36.310237156327965,-0.009271276977185784
4,-0.5,False,-1.5,False,36,35,-4.832950865627042,-0.07092206411294842
4,-0.5,False,-1.5,True,36,43,-40.04633235268085,-0.028900364261948815
4,0.5,False,-0.5,False,37,36,-4.684482972272768,0.016039597580313945
4,0.5,False,-0.5,True,37,44,-43.43520123437596,-0.03780682970985566
4,1.5,False,0.5,False,38,37,-4.5681118778134575,0.09963685250698272
4,1.5,False,0.5,True,38,45,-46.55923112825749,-0.03876318758205288
4,2.5,False,1.5,False,39,38,-4.47370958894453,0.16286761135518493
4,2.5,False,1.5,True,39,46,-49.47248763881078,-0.03334353283386682
4,3.5,False,2.5,False,40,39,-4.3951270281076305,0.17988186114519727
4,3.5,False,2.5,True,40,47,-52.212759299658245,-0.022344569763439487
4,-3.5,True,-4.5,False,41,32,-0.34479595074889957,-0.15684382493578092
4,-2.5,True,-3.5,True,42,41,-0.8107420539255656,-0.17238792176166082
4,-2.5,True,-3.5,False,42,33,25.960704967118282,-0.03601141900349557
4,-1.5,True,-2.5,True,43,42,-1.0968556692741558,-0.14241904729648616
4,-1.5,True,-2.5,False,43,34,30.181672200123263,-0.045625795115256086
