j,m,xi,spin_up,spin_down,zeeman_energy_khz,rotation_energy_ghz
0,-0.5,False,0.0,1.0,212.88739259267828,0.0
0,0.5,True,1.0,0.0,-212.88739259267828,0.0
1,-1.5,False,0.0,1.0,209.39825903019857,21.92
1,-0.5,False,0.0024629353756431016,-0.9999969669700681,212.88998752242435,21.92
1,0.5,False,0.0024543865386248242,-0.9999969879888234,216.37911207786084,21.92
1,-0.5,True,0.9999969669700681,0.0024629353756431016,-214.88912108490405,21.92
1,0.5,True,0.9999969879888234,0.0024543865386248242,-212.88997851538113,21.92
1,1.5,True,1.0,0.0,-210.88825903019858,21.92
2,-2.5,False,0.0,1.0,205.90912546771884,65.76
2,-1.5,False,0.003495258980474773,-0.9999938915636732,209.403466997892,65.76
2,-0.5,False,0.004265851577070911,-0.9999909012137672,212.89517728747285,65.76
2,0.5,False,0.004251045362562247,-0.9999909642658404,216.384283829803,65.76
2,1.5,False,0.0034589894464570614,-0.9999940176781106,219.8708136427454,65.76
2,-1.5,True,0.9999938915636732,0.003495258980474773,-216.89086768533116,65.76
2,-0.5,True,0.9999909012137672,0.004265851577070911,-214.89431084995255,65.76
2,0.5,True,0.9999909642658404,0.004251045362562247,-212.8951502673233,65.76
2,1.5,True,0.9999940176781106,0.0034589894464570614,-210.89341295530622,65.76
2,2.5,True,1.0,0.0,-208.88912546771886,65.76
3,-3.5,False,0.0,1.0,202.41999190523913,131.52
3,-2.5,False,0.004295775584535272,-0.9999907731134959,205.91696477143375,131.52
3,-1.5,False,0.005526337792173206,-0.999984729678712,209.4112787108476,131.52
3,-0.5,False,0.006032660491694958,-0.9999818033381368,212.90296169895393,131.52
3,0.5,False,0.006011723050894968,-0.9999819294297069,216.39204122407426,131.52
3,1.5,False,0.005468995303313375,-0.9999850449333592,219.87854429917257,131.52
3,2.5,False,0.004221739142320854,-0.9999910884195989,223.36249747328472,131.52
3,-2.5,True,0.9999907731134959,0.004295775584535272,-218.89263258383232,131.52
3,-1.5,True,0.999984729678712,0.005526337792173206,-216.89867939828676,131.52
3,-0.5,True,0.9999818033381368,0.006032660491694958,-214.90209526143363,131.52
3,0.5,True,0.9999819294297069,0.006011723050894968,-212.90290766159455,131.52
3,1.5,True,0.9999850449333592,0.005468995303313375,-210.9011436117334,131.52
3,2.5,True,0.9999910884195989,0.004221739142320854,-208.89682966088614,131.52
3,3.5,True,1.0,0.0,-206.88999190523916,131.52
4,-4.5,False,0.0,1.0,198.93085834275942,219.20000000000002
4,-3.5,False,0.004977747184509334,-0.9999876109397392,202.4304810355814,219.20000000000002
4,-2.5,False,0.006561663430549564,-0.9999784720547858,205.92741672634315,219.20000000000002
4,-1.5,False,0.007414088479517069,-0.9999725152683037,209.4216938828128,219.20000000000002
4,-0.5,False,0.007787847797120123,-0.999969674253519,212.9133404736056,219.20000000000002
4,0.5,False,0.007760820617740416,-0.9999698843781943,216.40238398035152,219.20000000000002
4,1.5,False,0.007337163827489341,-0.9999730826512124,219.8888514094846,219.20000000000002
4,2.5,False,0.006448583202738567,-0.9999792076711782,223.372769303667,219.20000000000002
4,3.5,False,0.004858055872001455,-0.9999881995769472,226.8541637528634,219.20000000000002
4,-3.5,True,0.9999876109397392,0.004977747184509334,-220.89441597293944,219.20000000000002
4,-2.5,True,0.9999784720547858,0.006561663430549564,-218.90308453874172,219.20000000000002
4,-1.5,True,0.9999725152683037,0.007414088479517069,-216.90909457025197,219.20000000000002
4,-0.5,True,0.999969674253519,0.007787847797120123,-214.91247403608529,219.20000000000002
4,0.5,True,0.9999698843781943,0.007760820617740416,-212.9132504178718,219.20000000000002
4,1.5,True,0.9999730826512124,0.007337163827489341,-210.91145072204543,219.20000000000002
4,2.5,True,0.9999792076711782,0.006448583202738567,-208.90710149126843,219.20000000000002
4,3.5,True,0.9999881995769472,0.004858055872001455,-206.90022881550541,219.20000000000002
4,4.5,True,1.0,0.0,-204.8908583427594,219.20000000000002
5,-5.5,False,0.0,1.0,195.4417247802797,328.8
5,-4.5,False,0.005584895439237352,-0.9999844043498543,198.9440159855724,328.8
5,-3.5,False,0.007466273920839515,-0.9999721269884171,202.44359171758768,328.8
5,-2.5,False,0.008590837823752064,-0.9999630980718668,205.94048094680196,328.8
5,-1.5,False,0.009246569444744461,-0.9999572495629517,209.4347121321992,328.8
5,-0.5,False,0.009537692830589872,-0.9999545151732999,212.92631323382543,328.8
5,0.5,False,0.009504595931854962,-0.9999548303079355,216.4153117249495,328.8
5,1.5,False,0.0091506405929447,-0.9999581320119052,219.90173460384597,328.8
5,2.5,False,0.008442801186597255,-0.9999643589189184,223.38560840521313,328.8
5,3.5,False,0.007286761374529961,-0.9999734512019159,226.86695921124107,328.8
5,4.5,False,0.005412830538231809,-0.9999853505254787,230.34581266234227,328.8
5,-4.5,True,0.9999844043498543,0.005584895439237352,-222.89621804788985,328.8
5,-3.5,True,0.9999721269884171,0.007466273920839515,-220.9075266549457,328.8
5,-2.5,True,0.9999630980718668,0.008590837823752064,-218.91614875920052,328.8
5,-1.5,True,0.9999572495629517,0.009246569444744461,-216.92211281963836,328.8
5,-0.5,True,0.9999545151732999,0.009537692830589872,-214.92544679630512,328.8
5,0.5,True,0.9999548303079355,0.009504595931854962,-212.9261781624698,328.8
5,1.5,True,0.9999581320119052,0.0091506405929447,-210.9243339164068,328.8
5,2.5,True,0.9999643589189184,0.008442801186597255,-208.91994059281456,328.8
5,3.5,True,0.9999734512019159,0.007286761374529961,-206.91302427388308,328.8
5,4.5,True,0.9999853505254787,0.005412830538231809,-204.90361060002482,328.8
5,5.5,True,1.0,0.0,-202.8917247802797,328.8
6,-6.5,False,0.0,1.0,191.95259121779998,460.32000000000005
6,-5.5,False,0.0061395739474964465,-0.9999811526382602,195.4575698193976,460.32000000000005
6,-4.5,False,0.008283273594634388,-0.9999656931007965,198.95980407357104,460.32000000000005
6,-3.5,False,0.009638380932224763,-0.9999535497276888,202.4593234641761,460.32000000000005
6,-2.5,False,0.010521002260367519,-0.9999446527240582,205.95615695088716,460.32000000000005
6,-1.5,False,0.011051156985110843,-0.9999389341001231,209.4503329821523,460.32000000000005
6,-0.5,False,0.011284534492012561,-0.9999363276135629,212.9418795077392,460.32000000000005
6,0.5,False,0.011245380101697051,-0.9999367687140864,216.4308239908881,460.32000000000005
6,1.5,False,0.010936518782732439,-0.999940194490108,219.9171934200868,460.32000000000005
6,2.5,False,0.010339724732467692,-0.999946543617436,223.40101432048118,460.32000000000005
